algorithm,params_readable,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_recall_fail,mean_test_precision_fail,mean_test_f1_fail,mean_test_roc_auc,rank_test_balanced_accuracy
knn,"{""model__n_neighbors"": 25, ""model__weights"": ""distance"", ""select__k"": 20}",0.5058226495726496,0.011645299145299149,0.0125,0.1,0.02222222222222222,0.6729575163398692,12
knn,"{""model__n_neighbors"": 25, ""model__weights"": ""distance"", ""select__k"": 10}",0.5053952991452991,0.010790598290598297,0.0125,0.06666666666666667,0.021052631578947368,0.6983235922574158,13
random_forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""select__k"": 80}",0.5050276520864756,0.012229447207366354,0.011764705882352941,0.2,0.02222222222222222,0.7727658371040724,12
knn,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform"", ""select__k"": 10}",0.5049679487179487,0.009935897435897446,0.0125,0.05,0.02,0.6939149698340874,14
knn,"{""model__n_neighbors"": 15, ""model__weights"": ""distance"", ""select__k"": 20}",0.5045405982905983,0.010183254952275357,0.0125,0.05,0.02,0.6402620663650074,15
knn,"{""model__n_neighbors"": 7, ""model__weights"": ""distance"", ""select__k"": 20}",0.5024038461538461,0.011258575193038875,0.0125,0.05,0.02,0.6222159376571141,16
knn,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform"", ""select__k"": 20}",0.5,0.0,0.0,0.0,0.0,0.6440359477124183,17
knn,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform"", ""select__k"": 40}",0.5,0.0,0.0,0.0,0.0,0.6768492332830568,17
knn,"{""model__n_neighbors"": 15, ""model__weights"": ""distance"", ""select__k"": 40}",0.5,0.0,0.0,0.0,0.0,0.6648598541980895,17
knn,"{""model__n_neighbors"": 25, ""model__weights"": ""uniform"", ""select__k"": 10}",0.5,0.0,0.0,0.0,0.0,0.6953509929612871,17
knn,"{""model__n_neighbors"": 25, ""model__weights"": ""uniform"", ""select__k"": 20}",0.5,0.0,0.0,0.0,0.0,0.6744076797385621,17
knn,"{""model__n_neighbors"": 25, ""model__weights"": ""uniform"", ""select__k"": 40}",0.5,0.0,0.0,0.0,0.0,0.7019450729009552,17
knn,"{""model__n_neighbors"": 25, ""model__weights"": ""distance"", ""select__k"": 40}",0.5,0.0,0.0,0.0,0.0,0.6933257918552036,17
knn,"{""model__n_neighbors"": 7, ""model__weights"": ""uniform"", ""select__k"": 20}",0.49743589743589745,0.0015989988832367215,0.0,0.0,0.0,0.6283936651583711,24
